"","c","p","CumP","CumPFloor"
"1",0,0.90104915085992,0.90104915085992,0
"2",1,0.0447201727641618,0.945769323624082,0.90104915085992
"3",2,0.0194880314646645,0.965257355088747,0.945769323624082
"4",3,0.0110008479717907,0.976258203060537,0.965257355088747
"5",4,0.00691788523600989,0.983176088296547,0.976258203060537
"6",5,0.00461744473245912,0.987793533029006,0.983176088296547
"7",6,0.003200848901321,0.990994381930327,0.987793533029006
"8",7,0.00227771046168506,0.993272092392012,0.990994381930327
"9",8,0.00165222081500441,0.994924313207017,0.993272092392012
"10",9,0.00121622113896068,0.996140534345977,0.994924313207017
"11",10,0.000905712550855918,0.997046246896833,0.996140534345977
"12",11,0.000680837536157972,0.997727084432991,0.997046246896833
"13",12,0.000515779031496659,0.998242863464488,0.997727084432991
"14",13,0.00039328981234703,0.998636153276835,0.998242863464488
"15",14,0.000301558682600936,0.998937711959436,0.998636153276835
"16",15,0.000232331977833635,0.999170043937269,0.998937711959436
"17",16,0.000179744777690517,0.99934978871496,0.999170043937269
"18",17,0.000139570782473124,0.999489359497433,0.99934978871496
"19",18,0.000108728159962929,0.999598087657396,0.999489359497433
"20",19,8.4946726031064e-05,0.999683034383427,0.999598087657396
"21",20,6.653949841923e-05,0.999749573881846,0.999683034383427
"22",21,5.22433114837856e-05,0.99980181719333,0.999749573881846
"23",22,4.11060294213545e-05,0.999842923222751,0.99980181719333
"24",23,3.24057432750159e-05,0.999875328966026,0.999842923222751
"25",24,2.55922521827926e-05,0.999900921218209,0.999875328966026
"26",25,2.02442773392726e-05,0.999921165495549,0.999900921218209
"27",26,1.60379139031282e-05,0.999937203409452,0.999921165495549
"28",27,1.27231940239379e-05,0.999949926603476,0.999937203409452
"29",28,1.01065586229657e-05,0.999960033162099,0.999949926603476
"30",29,8.03766936000501e-06,0.999968070831459,0.999960033162099
"31",30,6.3994324067535e-06,0.999974470263865,0.999968070831459
"32",31,5.10041496894807e-06,0.999979570678834,0.999974470263865
"33",32,4.06905517713447e-06,0.999983639734011,0.999979570678834
"34",33,3.24922348667798e-06,0.999986888957498,0.999983639734011
"35",34,2.59680767013741e-06,0.999989485765168,0.999986888957498
"36",35,2.07707656405055e-06,0.999991562841732,0.999989485765168
"37",36,1.66263874896146e-06,0.999993225480481,0.999991562841732
"38",37,1.33185745324503e-06,0.999994557337935,0.999993225480481
"39",38,1.06761652705017e-06,0.999995624954462,0.999994557337935
"40",39,8.56357432089406e-07,0.999996481311894,0.999995624954462
"41",40,6.87326063388204e-07,0.999997168637957,0.999996481311894
"42",41,5.51982473259821e-07,0.99999772062043,0.999997168637957
"43",42,4.43537381730621e-07,0.999998164157812,0.99999772062043
"44",43,3.56587594571163e-07,0.999998520745407,0.999998164157812
"45",44,2.86828747355862e-07,0.999998807574154,0.999998520745407
"46",45,2.30828624847668e-07,0.999999038402779,0.999998807574154
"47",46,1.85848022732179e-07,0.999999224250802,0.999999038402779
"48",47,1.49698988249028e-07,0.99999937394979,0.999999224250802
"49",48,1.20632497185029e-07,0.999999494582287,0.99999937394979
"50",49,9.72493480035811e-08,0.999999591831635,0.999999494582287
"51",50,7.84293942667511e-08,0.999999670261029,0.999999591831635
